Nodo_ID,Poeta,Ref,excerpt_orig,excerpt_esp,Fuente,Tema_Nodo,Rel_Kabbalah
79,Heráclito,DK B90,πυρὸς ἀνταμοιβὴ τὰ πάντα καὶ πῦρ ἁπάντων.,Todas las cosas son intercambio del fuego y el fuego de todas.,DK,Fuego_Todo,EinSof_Fuego
80,Baudelaire,"Les Fleurs du mal, Au Lecteur","Hypocrite lecteur, — mon semblable, — mon frère!","¡Hipócrita lector, — mi semejante, — mi hermano!",Wikisource,Lector_Hermano,Nefesh_Espejo
81,Ovidio,Met. III.339,"Iste ego sum: sensi, nec me mea fallit imago.","Ese soy yo: lo sentí, y no me engaña mi imagen.",Latin Library,Narciso_Imagen,Hod_Reflejo
82,Rilke,Duino II,Jeder Engel ist schrecklich.,Todo ángel es terrible.,Poetica,Ángel_Terrible,Gevurah_Ángel
83,Shakespeare,The Tempest IV.1,We are such stuff as dreams are made on.,Somos de la misma materia de la que están hechos los sueños.,MIT,Materia_Sueños,Yesod_Sueño
84,Parménides,DK B8.3,οὔτε γὰρ ἂν γνοίης τό γε μὴ ἐόν.,pues no podrías conocer lo que no es.,DK,No_Ser,Ayin
85,Plotino,Enn. V.1.6,πάντα ἐκεῖ καὶ πάντα ἐνταῦθα.,Todo allí y todo aquí.,Perseus,Todo_Aquí_Allí,Kol_Shaveh
86,Aristóteles,De An. III.4 429a,ὁ νοῦς ἐστί πως πάντα.,el intelecto es en cierto modo todas las cosas.,Perseus,Intelecto_Todo,Chochmah_Nous
87,Goethe,Faust II,Alles Vergängliche ist nur ein Gleichnis.,Todo lo perecedero es solo un símbolo.,Wikisource,Perecedero_Símbolo,Malkhut_Mashal
88,Blake,Auguries of Innocence v3,A Robin Red breast in a Cage puts all Heaven in a Rage.,Un petirrojo en una jaula enfurece a todo el Cielo.,PoetryFoundation,Jaula_Cielo,Gevurah_Jaula
89,Leopardi,Canto notturno,"Che fai tu, luna, in ciel? dimmi, che fai, silenziosa luna?","¿Qué haces tú, luna, en el cielo? Dime, ¿qué haces, silenciosa luna?",Wikisource,Luna_Silenciosa,Yesod_Luna
90,Baudelaire,L'Albatros,Ses ailes de géant l'empêchent de marcher.,Sus alas de gigante le impiden caminar.,Wikisource,Alas_Gigante,Nefesh_Albatros
91,Heráclito,DK B101,ἐδιζησάμην ἐμεωυτόν.,Me busqué a mí mismo.,DK,Búsqueda_Sí,Da'at_Reflexión
92,Spinoza,Ética IV Praef.,Exemplar naturae humanae.,Modelo de la naturaleza humana.,Latin Library,Modelo_Humano,Tiferet_Adam
93,Shakespeare,Hamlet III.1,"To be, or not to be, that is the question.","Ser o no ser, esa es la cuestión.",MIT,Ser_NoSer,Keter_Ayin
94,Rilke,Duino IX,"Erde, ist es nicht dies, was du willst: unsichtbar in uns erstehn?","Tierra, ¿no es esto lo que quieres: resurgir invisible en nosotros?",Poetica,Tierra_Invisible,Malkhut_Aliyah
95,Platón,Rep. 508b,τὸ τοῦ ἀγαθοῦ ἰδέαν.,la idea del Bien.,Perseus,Idea_Bien,Keter_Tov
96,Ovidio,Met. XV.871,"Iamque opus exegi, quod nec Iovis ira nec ignis.",Ya terminé una obra que ni la ira de Júpiter ni el fuego.,Latin Library,Obra_Eterna,Netzach_Opus
97,Leopardi,Il sabato del villaggio,Dolce e chiara è la notte e senza vento.,Dulce y clara es la noche y sin viento.,Wikisource,Noche_Dulce,Yesod_Shabat
98,Blake,The Chimney Sweeper,Weep! weep! in notes of woe!,¡Llora! ¡llora! en notas de dolor!,PoetryFoundation,Limpiachimeneas_Lloro,Rachamim_Llanto
